Age,Job,Marital,Education,Housing,Loan,Contact,Duration,Success
56,services,married,high.school,no,yes,telephone,307,no
45,services,married,basic.9y,no,no,telephone,198,no
59,admin.,married,professional.course,no,no,telephone,139,no
41,blue-collar,married,unknown,no,no,telephone,217,no
24,technician,single,professional.course,yes,no,telephone,380,no
25,services,single,high.school,yes,no,telephone,50,no
41,blue-collar,married,unknown,no,no,telephone,55,no
25,services,single,high.school,yes,no,telephone,222,no
29,blue-collar,single,high.school,no,yes,telephone,137,no
57,housemaid,divorced,basic.4y,yes,no,telephone,293,no
35,blue-collar,married,basic.6y,yes,no,telephone,146,no
54,retired,married,basic.9y,yes,yes,telephone,174,no
35,blue-collar,married,basic.6y,yes,no,telephone,312,no
46,blue-collar,married,basic.6y,yes,yes,telephone,440,no
50,blue-collar,married,basic.9y,yes,yes,telephone,353,no
39,management,single,basic.9y,no,no,telephone,195,no
55,blue-collar,married,basic.4y,yes,no,telephone,262,no
55,retired,single,high.school,yes,no,telephone,342,no
41,technician,single,high.school,yes,no,telephone,181,no
37,admin.,married,high.school,yes,no,telephone,172,no
35,technician,married,university.degree,no,yes,telephone,99,no
59,technician,married,unknown,yes,no,telephone,93,no
54,technician,single,university.degree,no,no,telephone,255,no
55,unknown,married,university.degree,unknown,unknown,telephone,362,no
46,admin.,married,unknown,no,no,telephone,348,no
49,blue-collar,married,unknown,no,no,telephone,73,no
54,management,married,basic.4y,yes,no,telephone,230,no
54,blue-collar,divorced,basic.4y,no,no,telephone,208,no
55,unknown,married,basic.4y,yes,no,telephone,336,no
34,services,married,high.school,no,no,telephone,365,no
52,technician,married,basic.9y,yes,no,telephone,1666,no
41,admin.,married,university.degree,yes,no,telephone,577,no
56,technician,married,basic.4y,yes,no,telephone,137,no
32,entrepreneur,married,high.school,yes,no,telephone,314,no
38,admin.,single,professional.course,no,no,telephone,160,no
57,admin.,married,university.degree,no,yes,telephone,212,no
44,admin.,married,university.degree,yes,no,telephone,188,no
42,technician,single,professional.course,no,no,telephone,22,no
57,admin.,married,university.degree,yes,yes,telephone,616,no
40,blue-collar,married,basic.9y,no,yes,telephone,178,no
35,admin.,married,university.degree,yes,no,telephone,355,no
45,blue-collar,married,basic.9y,yes,no,telephone,225,no
54,admin.,married,high.school,no,no,telephone,160,no
39,housemaid,married,basic.4y,no,yes,telephone,266,no
60,admin.,married,high.school,no,no,telephone,253,no
53,admin.,single,professional.course,no,no,telephone,179,no
55,blue-collar,married,basic.4y,no,no,telephone,269,no
55,technician,married,professional.course,yes,no,telephone,135,no
50,management,married,university.degree,no,yes,telephone,161,no
45,services,married,high.school,yes,no,telephone,787,no
55,unemployed,married,professional.course,yes,yes,telephone,145,no
25,technician,single,university.degree,yes,no,telephone,174,no
47,entrepreneur,married,university.degree,no,no,telephone,449,no
51,blue-collar,married,basic.9y,yes,no,telephone,812,no
42,blue-collar,married,basic.6y,yes,no,telephone,164,no
42,blue-collar,married,basic.6y,no,no,telephone,366,no
48,admin.,married,high.school,no,no,telephone,357,no
37,admin.,married,university.degree,no,no,telephone,232,no
44,blue-collar,single,basic.9y,yes,no,telephone,91,no
33,admin.,married,unknown,yes,no,telephone,273,no
56,admin.,married,basic.9y,yes,no,telephone,158,no
44,blue-collar,single,basic.4y,yes,yes,telephone,177,no
41,management,married,basic.6y,no,no,telephone,200,no
44,management,divorced,university.degree,yes,no,telephone,172,no
47,admin.,married,university.degree,yes,no,telephone,176,no
57,unknown,married,unknown,no,no,telephone,211,no
37,admin.,married,university.degree,yes,no,telephone,214,no
41,blue-collar,divorced,basic.4y,yes,no,telephone,1575,yes
55,technician,married,university.degree,no,no,telephone,349,no
33,services,married,high.school,yes,no,telephone,337,no
42,blue-collar,married,basic.9y,no,no,telephone,208,no
50,blue-collar,married,basic.4y,yes,no,telephone,193,no
51,blue-collar,married,basic.4y,unknown,unknown,telephone,212,no
38,admin.,married,high.school,no,no,telephone,165,no
49,entrepreneur,married,university.degree,yes,no,telephone,1042,yes
38,technician,single,university.degree,no,yes,telephone,20,no
31,admin.,divorced,high.school,no,no,telephone,246,no
41,management,married,basic.6y,no,no,telephone,529,no
